word,meaning,difficulty,video_path
커피,커피콩을 볶아 추출한 음료,1,NIA_SL_WORD0115_SYN01_F.mp4
콩가루,콩을 볶아서 빻은 가루,2,NIA_SL_WORD0117_SYN01_F.mp4
와인,포도를 발효시켜 만든 알코올 음료,2,NIA_SL_WORD0119_SYN01_F.mp4
백설기,쌀가루를 쪄서 만든 흰 떡,2,NIA_SL_WORD0120_SYN01_F.mp4
가죽신,가죽으로 만든 신발,2,NIA_SL_WORD0121_SYN01_F.mp4
군복,군인이 입는 제복,2,NIA_SL_WORD0122_SYN01_F.mp4
포켓,옷에 달린 작은 주머니,2,NIA_SL_WORD0123_SYN01_F.mp4
양산,햇빛을 가리기 위한 우산 모양의 용품,2,NIA_SL_WORD0124_SYN01_F.mp4
운동화,운동할 때 신는 신발,1,NIA_SL_WORD0125_SYN01_F.mp4
잠옷,잠을 잘 때 입는 옷,2,NIA_SL_WORD0126_SYN01_F.mp4
이불,잠을 잘 때 몸을 덮는 침구,1,NIA_SL_WORD0127_SYN01_F.mp4
에어컨,공기를 냉각하는 냉방 기기,1,NIA_SL_WORD0128_SYN01_F.mp4
행거,옷을 걸어두는 기구,2,NIA_SL_WORD0129_SYN01_F.mp4
월세,매달 집 임대료를 내는 방식,2,NIA_SL_WORD0130_SYN01_F.mp4
전세,보증금을 내고 일정 기간 거주하는 임대 방식,2,NIA_SL_WORD0131_SYN01_F.mp4
치약,이를 닦을 때 쓰는 세정제,1,NIA_SL_WORD0132_SYN01_F.mp4
가수,노래를 직업으로 하는 사람,1,NIA_SL_WORD0133_SYN01_F.mp4
체감,몸으로 직접 느끼는 감각,3,NIA_SL_WORD0134_SYN01_F.mp4
경고,위험이나 잘못을 미리 알려주는 일,2,NIA_SL_WORD0135_SYN01_F.mp4
경찰서,경찰이 근무하며 치안을 담당하는 기관,1,NIA_SL_WORD0136_SYN01_F.mp4
과장,사실보다 크게 표현하는 것 또는 부서의 중간 관리자,2,NIA_SL_WORD0138_SYN01_F.mp4
관광버스,관광 여행에 사용되는 버스,2,NIA_SL_WORD0139_SYN01_F.mp4
교수,대학에서 학문을 연구하고 가르치는 사람,2,NIA_SL_WORD0140_SYN01_F.mp4
교장,학교의 최고 책임자,2,NIA_SL_WORD0141_SYN01_F.mp4
찻길,차가 다니는 도로,2,NIA_SL_WORD0142_SYN01_F.mp4
독일어,독일에서 사용하는 언어,2,NIA_SL_WORD0143_SYN01_F.mp4
음주운전,[동음이의어] 술을 마시고 차를 운전하는 불법 행위,2,NIA_SL_WORD0145_SYN01_F.mp4
동아리,같은 취미나 목적을 가진 사람들의 모임,2,NIA_SL_WORD0146_SYN01_F.mp4
디자이너,시각적 디자인을 전문으로 하는 사람,2,NIA_SL_WORD0147_SYN01_F.mp4
마을버스,마을과 가까운 지역을 운행하는 소형 버스,2,NIA_SL_WORD0148_SYN01_F.mp4
음주운전,[동음이의어] 술을 마시고 차를 운전하는 불법 행위,2,NIA_SL_WORD0151_SYN01_F.mp4
사무,사무실에서 하는 업무,2,NIA_SL_WORD0152_SYN01_F.mp4
신입학,처음으로 학교에 입학하는 일,3,NIA_SL_WORD0153_SYN01_F.mp4
여객선,여객을 태우고 다니는 배,2,NIA_SL_WORD0154_SYN01_F.mp4
여행사,여행 상품을 기획하고 판매하는 업체,2,NIA_SL_WORD0155_SYN01_F.mp4
기차역,기차가 서고 출발하는 장소,2,NIA_SL_WORD0156_SYN01_F.mp4
예술가,예술 작품을 창작하는 사람,2,NIA_SL_WORD0157_SYN01_F.mp4
외국어,자국어가 아닌 다른 나라의 언어,2,NIA_SL_WORD0158_SYN01_F.mp4
요리사,음식을 전문적으로 만드는 사람,2,NIA_SL_WORD0159_SYN01_F.mp4
강요,강제로 시키거나 요구하는 것,2,NIA_SL_WORD0160_SYN01_F.mp4
운동선수,운동을 직업으로 하는 사람,2,NIA_SL_WORD0161_SYN01_F.mp4
퇴임,맡은 직무에서 물러나는 일,3,NIA_SL_WORD0162_SYN01_F.mp4
의사,의학을 전공하고 환자를 치료하는 사람,1,NIA_SL_WORD0163_SYN01_F.mp4
이력서,개인의 학력과 경력을 적은 문서,3,NIA_SL_WORD0164_SYN01_F.mp4
자가용,개인이 소유한 승용차,2,NIA_SL_WORD0165_SYN01_F.mp4
재택근무,집에서 업무를 처리하는 근무 방식,2,NIA_SL_WORD0166_SYN01_F.mp4
연령제한,특정 나이 이상 또는 이하만 허용하는 제한,3,NIA_SL_WORD0167_SYN01_F.mp4
주차장,차를 세워두는 장소,2,NIA_SL_WORD0168_SYN01_F.mp4
채팅,인터넷으로 실시간 문자 대화를 나누는 것,2,NIA_SL_WORD0169_SYN01_F.mp4
출근,직장에 일하러 나가는 일,2,NIA_SL_WORD0170_SYN01_F.mp4
코치,선수나 팀을 지도하는 사람,2,NIA_SL_WORD0171_SYN01_F.mp4
터미널,버스나 항공기의 출발·도착 장소,2,NIA_SL_WORD0172_SYN01_F.mp4
근무,직장에서 일하는 것,2,NIA_SL_WORD0173_SYN01_F.mp4
통역사,서로 다른 언어를 통역하는 사람,2,NIA_SL_WORD0174_SYN01_F.mp4
퇴사,직장을 그만두는 일,2,NIA_SL_WORD0175_SYN01_F.mp4
사직,직무에서 스스로 물러나는 일,2,NIA_SL_WORD0176_SYN01_F.mp4
판결,법원이 사건에 대해 내리는 결정,3,NIA_SL_WORD0177_SYN01_F.mp4
평가,사물의 가치나 수준을 판단하는 일,2,NIA_SL_WORD0178_SYN01_F.mp4
두번째,순서상 두 번째,1,NIA_SL_WORD0179_SYN01_F.mp4
항공사,비행기로 여객과 화물을 운송하는 회사,2,NIA_SL_WORD0180_SYN01_F.mp4
교통안전교육,교통 안전에 관한 교육,3,NIA_SL_WORD0181_SYN01_F.mp4
화상채팅,영상을 통해 실시간으로 대화하는 것,2,NIA_SL_WORD0182_SYN01_F.mp4
회식,직장 동료들이 함께하는 식사 모임,2,NIA_SL_WORD0183_SYN01_F.mp4
교통기본교육,교통 기본 규칙에 관한 교육,3,NIA_SL_WORD0184_SYN01_F.mp4
후원,도움을 주거나 지지하는 것,2,NIA_SL_WORD0185_SYN01_F.mp4
희생,다른 사람을 위해 자신을 바치는 것,3,NIA_SL_WORD0186_SYN01_F.mp4
간호사,의사를 도와 환자를 돌보는 의료 종사자,2,NIA_SL_WORD0187_SYN01_F.mp4
교통법교육,교통 법규에 관한 교육,3,NIA_SL_WORD0188_SYN01_F.mp4
계약금,계약 시 먼저 지불하는 돈,3,NIA_SL_WORD0189_SYN01_F.mp4
고용,일정한 보수를 주고 사람을 써서 일을 시키는 것,3,NIA_SL_WORD0190_SYN01_F.mp4
사업장,사업을 하는 장소,2,NIA_SL_WORD0191_SYN01_F.mp4
버스값,버스를 타는 데 내는 요금,2,NIA_SL_WORD0192_SYN01_F.mp4
구직,일자리를 구하는 일,2,NIA_SL_WORD0193_SYN01_F.mp4
논,벼를 재배하는 물이 있는 밭,2,NIA_SL_WORD0194_SYN01_F.mp4
대기업,규모가 큰 기업,2,NIA_SL_WORD0195_SYN01_F.mp4
사육장,동물을 기르는 시설,3,NIA_SL_WORD0196_SYN01_F.mp4
백화점,다양한 상품을 파는 대형 종합 상점,2,NIA_SL_WORD0197_SYN01_F.mp4
압류,채무자의 재산을 법적으로 처분 못 하게 하는 것,3,NIA_SL_WORD0198_SYN01_F.mp4
수입,외국에서 물건을 사들이거나 돈이 들어오는 것,2,NIA_SL_WORD0200_SYN01_F.mp4
신용카드,신용으로 물건을 사고 나중에 대금을 내는 카드,2,NIA_SL_WORD0201_SYN01_F.mp4
백수,직업 없이 지내는 사람,2,NIA_SL_WORD0202_SYN01_F.mp4
아르바이트,부업이나 임시로 하는 일,2,NIA_SL_WORD0203_SYN01_F.mp4
샛길,지름길 또는 옆길,3,NIA_SL_WORD0204_SYN01_F.mp4
일시불,한꺼번에 전액을 내는 방식,3,NIA_SL_WORD0205_SYN01_F.mp4
주유소,자동차에 연료를 넣는 곳,2,NIA_SL_WORD0206_SYN01_F.mp4
집주인,집을 소유한 사람,2,NIA_SL_WORD0207_SYN01_F.mp4
한국은행,대한민국의 중앙은행,2,NIA_SL_WORD0208_SYN01_F.mp4
경찰청장,경찰청의 최고 책임자,3,NIA_SL_WORD0209_SYN01_F.mp4
가정교육,가정에서 이루어지는 교육,2,NIA_SL_WORD0210_SYN01_F.mp4
고등학교,중학교 다음 단계의 학교,1,NIA_SL_WORD0211_SYN01_F.mp4
고등학생,고등학교에 다니는 학생,1,NIA_SL_WORD0212_SYN01_F.mp4
교무실,교사들이 근무하는 방,2,NIA_SL_WORD0213_SYN01_F.mp4
개학,방학이 끝나고 학교 수업이 다시 시작되는 날,2,NIA_SL_WORD0214_SYN01_F.mp4
교실,학생들이 수업을 받는 방,1,NIA_SL_WORD0215_SYN01_F.mp4
교육자,교육을 담당하는 사람,2,NIA_SL_WORD0216_SYN01_F.mp4
국어학,한국어를 연구하는 학문,3,NIA_SL_WORD0217_SYN01_F.mp4
낙제,시험에 떨어지거나 진급하지 못하는 것,3,NIA_SL_WORD0218_SYN01_F.mp4
예절,사회적으로 지켜야 할 행동 규범,2,NIA_SL_WORD0219_SYN01_F.mp4
독서실,조용히 공부할 수 있는 장소,2,NIA_SL_WORD0220_SYN01_F.mp4
등교,학교에 다니러 가는 것,2,NIA_SL_WORD0221_SYN01_F.mp4
맹학교,시각 장애인을 위한 특수 학교,2,NIA_SL_WORD0222_SYN01_F.mp4
복습,[동음이의어] 배운 것을 다시 공부하는 것,2,NIA_SL_WORD0223_SYN01_F.mp4
분필,칠판에 글씨를 쓰는 흰색 막대,2,NIA_SL_WORD0224_SYN01_F.mp4
상장,표창이나 수상을 기념하는 증서,2,NIA_SL_WORD0225_SYN01_F.mp4
서점,책을 파는 가게,1,NIA_SL_WORD0226_SYN01_F.mp4
학업,학교에서 공부하는 일,3,NIA_SL_WORD0227_SYN01_F.mp4
실습,실제로 해보는 실践 훈련,2,NIA_SL_WORD0228_SYN01_F.mp4
여학교,여학생만 다니는 학교,2,NIA_SL_WORD0229_SYN01_F.mp4
여학생,여자 학생,1,NIA_SL_WORD0230_SYN01_F.mp4
연구소,전문적인 연구를 수행하는 기관,3,NIA_SL_WORD0231_SYN01_F.mp4
연구실,연구를 하는 방,3,NIA_SL_WORD0232_SYN01_F.mp4
예습,배울 내용을 미리 공부하는 것,2,NIA_SL_WORD0233_SYN01_F.mp4
유학,외국에 가서 공부하는 것,2,NIA_SL_WORD0234_SYN01_F.mp4
의학,질병을 연구하고 치료하는 학문,3,NIA_SL_WORD0235_SYN01_F.mp4
지도,[동음이의어] 지형을 그림으로 나타낸 것 또는 가르치고 이끄는 것,2,NIA_SL_WORD0236_SYN01_F.mp4
재학,학교에 다니고 있는 상태,2,NIA_SL_WORD0237_SYN01_F.mp4
연구,어떤 사실이나 이론을 깊이 조사하는 것,2,NIA_SL_WORD0238_SYN01_F.mp4
학부모,학생의 부모,2,NIA_SL_WORD0239_SYN01_F.mp4
학식,학문으로 쌓은 지식,2,NIA_SL_WORD0240_SYN01_F.mp4
훈련,기술이나 능력을 기르기 위한 연습,2,NIA_SL_WORD0241_SYN01_F.mp4
경기도,대한민국 중부에 위치한 광역 행정구역,1,NIA_SL_WORD0242_SYN01_F.mp4
경남,경상남도의 줄임말,2,NIA_SL_WORD0243_SYN01_F.mp4
경북,경상북도의 줄임말,2,NIA_SL_WORD0244_SYN01_F.mp4
남산,서울 중심부에 있는 산,2,NIA_SL_WORD0245_SYN01_F.mp4
울릉도,경상북도에 속한 섬,2,NIA_SL_WORD0246_SYN01_F.mp4
울산,대한민국 남동부에 위치한 광역시,2,NIA_SL_WORD0247_SYN01_F.mp4
전남,전라남도의 줄임말,2,NIA_SL_WORD0248_SYN01_F.mp4
성경책,기독교의 경전,2,NIA_SL_WORD0254_SYN01_F.mp4
신학,종교와 신에 대해 연구하는 학문,3,NIA_SL_WORD0255_SYN01_F.mp4
장로교,기독교 개신교의 한 교파,3,NIA_SL_WORD0256_SYN01_F.mp4
일요일,[동음이의어] 한 주의 마지막 날,1,NIA_SL_WORD0257_SYN01_F.mp4
축하,좋은 일을 기뻐하며 인사하는 것,1,NIA_SL_WORD0258_SYN01_F.mp4
회개,잘못을 뉘우치고 돌이키는 것,3,NIA_SL_WORD0259_SYN01_F.mp4
소감,어떤 일에 대해 느낀 생각,2,NIA_SL_WORD0260_SYN01_F.mp4
장난,심심풀이로 하는 짓궂은 행동,1,NIA_SL_WORD0261_SYN01_F.mp4
장인,기술이 뛰어난 공예가 또는 아내의 아버지,2,NIA_SL_WORD0262_SYN01_F.mp4
희생자,어떤 일로 인해 피해를 입은 사람,3,NIA_SL_WORD0263_SYN01_F.mp4
디자인,시각적 구성을 계획하고 만드는 것,2,NIA_SL_WORD0264_SYN01_F.mp4
돌무덤,돌로 만든 무덤,3,NIA_SL_WORD0265_SYN01_F.mp4
쇠기둥,쇠로 만든 기둥,2,NIA_SL_WORD0266_SYN01_F.mp4
동화책,어린이를 위한 이야기책,1,NIA_SL_WORD0267_SYN01_F.mp4
목공예,나무를 이용한 공예,3,NIA_SL_WORD0268_SYN01_F.mp4
문학,언어로 표현한 예술 작품,3,NIA_SL_WORD0269_SYN01_F.mp4
문화유산,후대에 전해지는 문화적 가치가 있는 것,3,NIA_SL_WORD0270_SYN01_F.mp4
음악가,음악을 연주하거나 작곡하는 사람,2,NIA_SL_WORD0271_SYN01_F.mp4
예술,아름다움을 표현하는 창작 활동,2,NIA_SL_WORD0272_SYN01_F.mp4
초상화,사람의 얼굴이나 모습을 그린 그림,3,NIA_SL_WORD0273_SYN01_F.mp4
토기,흙으로 만든 그릇,3,NIA_SL_WORD0274_SYN01_F.mp4
흑백영화,색 없이 흑백으로 촬영한 영화,2,NIA_SL_WORD0275_SYN01_F.mp4
공군,공중전을 담당하는 군대,2,NIA_SL_WORD0276_SYN01_F.mp4
국왕,왕국의 최고 통치자,2,NIA_SL_WORD0278_SYN01_F.mp4
보건복지,국민의 건강과 복지를 담당하는 분야,3,NIA_SL_WORD0279_SYN01_F.mp4
고소,법적으로 피해 사실을 신고하는 것,3,NIA_SL_WORD0280_SYN01_F.mp4
유권자,선거에서 투표할 권리가 있는 사람,3,NIA_SL_WORD0281_SYN01_F.mp4
절도죄,남의 물건을 훔치는 범죄,3,NIA_SL_WORD0282_SYN01_F.mp4
수감자,교도소에 갇힌 사람,3,NIA_SL_WORD0283_SYN01_F.mp4
총무,단체의 전반적인 사무를 맡은 사람,2,NIA_SL_WORD0284_SYN01_F.mp4
강,육지에 흐르는 큰 물줄기,1,NIA_SL_WORD0285_SYN01_F.mp4
달빛,달에서 나오는 빛,2,NIA_SL_WORD0286_SYN01_F.mp4
장마,여름철에 계속 비가 내리는 기간,2,NIA_SL_WORD0287_SYN01_F.mp4
체온,몸의 온도,2,NIA_SL_WORD0288_SYN01_F.mp4
파도,바람에 의해 물이 출렁이는 현상,2,NIA_SL_WORD0289_SYN01_F.mp4
하늘,지구 위의 대기권,1,NIA_SL_WORD0290_SYN01_F.mp4
가시나무,가시가 있는 나무,2,NIA_SL_WORD0291_SYN01_F.mp4
강아지,개의 새끼,1,NIA_SL_WORD0292_SYN01_F.mp4
구렁이,몸이 크고 굵은 뱀,3,NIA_SL_WORD0293_SYN01_F.mp4
까마귀,온몸이 검은 새,2,NIA_SL_WORD0294_SYN01_F.mp4
꽃씨,꽃의 씨앗,2,NIA_SL_WORD0295_SYN01_F.mp4
꽃잎,꽃의 잎,2,NIA_SL_WORD0296_SYN01_F.mp4
웃는척,웃지 않으면서 웃는 것처럼 행동하는 것,2,NIA_SL_WORD0297_SYN01_F.mp4
흡연실,담배를 피울 수 있도록 마련된 공간,2,NIA_SL_WORD0298_SYN01_F.mp4
무궁화,대한민국의 국화,2,NIA_SL_WORD0299_SYN01_F.mp4
밤나무,밤이 열리는 나무,2,NIA_SL_WORD0300_SYN01_F.mp4
깃털,새의 몸을 덮는 털,2,NIA_SL_WORD0302_SYN01_F.mp4
솔잎,소나무의 잎,2,NIA_SL_WORD0303_SYN01_F.mp4
송아지,소의 새끼,2,NIA_SL_WORD0304_SYN01_F.mp4
소뿔,소의 머리에 있는 뿔,2,NIA_SL_WORD0305_SYN01_F.mp4
양털,양의 몸을 덮는 털,2,NIA_SL_WORD0306_SYN01_F.mp4
연꽃,물 위에 피는 꽃,2,NIA_SL_WORD0307_SYN01_F.mp4
어제밤,어제의 밤,1,NIA_SL_WORD0309_SYN01_F.mp4
갈색,짙은 황토색,1,NIA_SL_WORD0310_SYN01_F.mp4
최상급,가장 높은 등급,3,NIA_SL_WORD0311_SYN01_F.mp4
공휴일,법으로 정해진 쉬는 날,2,NIA_SL_WORD0312_SYN01_F.mp4
세번째,순서상 세 번째,1,NIA_SL_WORD0313_SYN01_F.mp4
네번째,순서상 네 번째,1,NIA_SL_WORD0314_SYN01_F.mp4
흙내음,흙에서 나는 냄새,3,NIA_SL_WORD0315_SYN01_F.mp4
금요일,한 주의 여섯 번째 날,1,NIA_SL_WORD0316_SYN01_F.mp4
급행,빠른 속도로 운행하는 것,2,NIA_SL_WORD0317_SYN01_F.mp4
남부지방,남쪽에 위치한 지역,2,NIA_SL_WORD0318_SYN01_F.mp4
식목일,나무를 심는 것을 장려하기 위한 기념일,2,NIA_SL_WORD0319_SYN01_F.mp4
방금,아주 조금 전,1,NIA_SL_WORD0320_SYN01_F.mp4
보라색,파랑과 빨강을 섞은 색,1,NIA_SL_WORD0322_SYN01_F.mp4
분홍조명,분홍빛의 조명,2,NIA_SL_WORD0323_SYN01_F.mp4
분홍색,연한 빨간색,1,NIA_SL_WORD0324_SYN01_F.mp4
얼굴이빨개지다,부끄럽거나 흥분하여 얼굴이 붉어지다,2,NIA_SL_WORD0325_SYN01_F.mp4
3.1절,1919년 3월 1일 독립운동을 기념하는 날,2,NIA_SL_WORD0327_SYN01_F.mp4
생년월일,"태어난 해, 월, 일",2,NIA_SL_WORD0328_SYN01_F.mp4
수요일,한 주의 네 번째 날,1,NIA_SL_WORD0329_SYN01_F.mp4
10만원,십만 원의 화폐 금액,1,NIA_SL_WORD0330_SYN01_F.mp4
어떻게,어떤 방법으로,1,NIA_SL_WORD0331_SYN01_F.mp4
